                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 2.2462,                 1.1813,                0.83218,                0.75665,                0.43103,                0.55747,                0.23058,                 1.8918,                 1.1016,                0.78588,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.2786,                 1.2916,                0.82579,                0.65459,                0.43159,                0.52499,                0.19031,                 2.1556,                 1.1024,                0.78385,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.3906,                 1.2124,                0.84991,                0.62893,                0.48668,                0.57195,                0.23267,                 1.8613,                 1.0623,                0.78632,               0.000911,               0.000911,               0.000911
                     57,                 2.3339,                 1.2672,                0.83408,                0.65734,                0.45585,                0.55249,                 0.2153,                  1.917,                 1.1662,                0.78487,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.2708,                 1.0709,                 0.8236,                0.63099,                0.58416,                0.63261,                0.23506,                 2.0547,                0.98309,                0.78607,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.1522,                 1.0932,                0.83192,                0.69484,                0.48515,                0.59283,                 0.2338,                 2.1338,                0.98488,                0.78854,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.2492,                 1.1446,                0.81713,                0.71301,                0.52475,                0.64723,                0.25547,                 2.0337,                 1.0071,                0.78907,              0.0008318,              0.0008318,              0.0008318
                     61,                  2.253,                 1.0876,                0.82761,                0.66273,                0.60312,                0.64949,                0.26587,                 2.0447,                0.96806,                0.78738,               0.000812,               0.000812,               0.000812
                     62,                 2.2113,                 1.0504,                0.82817,                0.57149,                0.55461,                0.57299,                0.22138,                 2.0911,                0.99597,                0.78415,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.2374,                 1.0678,                0.82895,                0.66429,                0.58416,                0.62672,                0.25767,                 2.0762,                0.96843,                0.78704,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.1903,                 1.0059,                0.84242,                0.69641,                0.52475,                0.60037,                 0.2521,                 2.2114,                 1.0138,                0.79395,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.1654,                 1.0579,                 0.8287,                0.69712,                0.50139,                0.61217,                0.24533,                 2.0796,                 1.0679,                0.78467,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.2805,                 1.0683,                 0.8233,                  0.706,                0.52475,                0.61632,                0.23458,                 2.0505,                 1.0606,                0.78665,               0.000713,               0.000713,               0.000713
                     67,                 2.2161,                 1.0407,                0.82679,                0.67297,                0.51485,                0.61294,                0.24295,                 1.9467,                 1.0356,                0.77683,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.1041,                 1.0402,                0.80193,                0.76614,                0.54455,                0.63376,                0.26777,                 1.9897,                 1.0083,                0.78367,              0.0006734,              0.0006734,              0.0006734
                     69,                  2.237,                 1.1132,                0.81179,                0.73601,                0.53465,                0.63978,                0.23169,                 2.0748,                0.98938,                0.78831,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.2605,                 1.0604,                0.83613,                0.74125,                0.51058,                0.62027,                0.23328,                 2.2069,                  1.037,                0.79044,              0.0006338,              0.0006338,              0.0006338
                     71,                  2.212,                 1.0295,                0.83099,                0.74438,                0.52475,                0.66076,                0.28294,                 2.0147,                 0.9735,                0.79328,               0.000614,               0.000614,               0.000614
                     72,                  2.241,                 1.0569,                0.81153,                0.74433,                0.50495,                0.64022,                0.26543,                 2.0599,                 1.0083,                0.78441,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.2805,                  1.128,                 0.8094,                0.66848,                0.52475,                0.63247,                0.27482,                 1.8878,                 0.9088,                 0.7786,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.1459,                0.99805,                0.82605,                0.65437,                0.54363,                0.62144,                0.27747,                 2.0015,                0.98244,                0.77868,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.1189,                0.96988,                0.82241,                0.63671,                0.53796,                0.62743,                0.27177,                 1.8279,                0.98967,                0.77605,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.1484,                 0.9855,                0.82276,                0.66132,                0.54455,                0.66541,                0.25768,                 1.9641,                0.95238,                0.77825,               0.000515,               0.000515,               0.000515
                     77,                 2.1349,                 1.0159,                0.83022,                0.86295,                0.46535,                0.63546,                0.24106,                  1.952,                0.97937,                0.78093,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.0784,                0.94155,                0.83608,                0.79362,                 0.4569,                0.60963,                0.23927,                  1.926,                0.93958,                0.78248,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.1427,                0.96193,                0.81952,                0.83856,                0.50495,                  0.641,                0.25376,                 1.9358,                0.95297,                0.77852,              0.0004556,              0.0004556,              0.0004556
